timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839261159,123,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-13,text,true,,276857,125,20,21,https://vnexpress.net/kinh-doanh,96,0,0
1768839261165,125,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-15,text,true,,276553,125,20,21,https://vnexpress.net/kinh-doanh,96,0,0
1768839261138,174,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-9,text,true,,276577,125,20,21,https://vnexpress.net/kinh-doanh,94,0,0
1768839261182,133,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-16,text,true,,276561,125,20,21,https://vnexpress.net/kinh-doanh,99,0,0
1768839260857,475,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-3,text,true,,276554,125,20,21,https://vnexpress.net/kinh-doanh,446,0,0
1768839261145,188,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-4,text,true,,276880,125,20,21,https://vnexpress.net/kinh-doanh,155,0,0
1768839261116,218,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-7,text,true,,316383,123,20,21,https://vnexpress.net/the-thao,98,0,0
1768839261232,123,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-19,text,true,,316763,123,20,21,https://vnexpress.net/the-thao,83,0,0
1768839261211,152,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-20,text,true,,276591,125,20,21,https://vnexpress.net/kinh-doanh,95,0,0
1768839261169,218,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-6,text,true,,276889,125,20,21,https://vnexpress.net/kinh-doanh,187,0,0
1768839261037,362,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-2,text,true,,316688,123,20,21,https://vnexpress.net/the-thao,302,0,0
1768839261229,170,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-10,text,true,,316360,123,20,21,https://vnexpress.net/the-thao,101,0,0
1768839261291,140,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-15,text,true,,316322,123,20,21,https://vnexpress.net/the-thao,93,0,0
1768839261264,177,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-12,text,true,,316770,123,20,21,https://vnexpress.net/the-thao,136,0,0
1768839260938,504,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-17,text,true,,276585,125,20,21,https://vnexpress.net/kinh-doanh,461,0,0
1768839261275,182,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-14,text,true,,316337,123,20,21,https://vnexpress.net/the-thao,106,0,0
1768839261333,142,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-3,text,true,,316330,123,20,21,https://vnexpress.net/the-thao,106,0,0
1768839261132,348,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-8,text,true,,316665,123,20,21,https://vnexpress.net/the-thao,310,0,0
1768839261312,175,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-9,text,true,,316360,123,20,21,https://vnexpress.net/the-thao,101,0,0
1768839261282,206,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-13,text,true,,316716,123,20,21,https://vnexpress.net/the-thao,170,0,0
